,Gold_Price,Bitcoin_Price,Dow_Jones
2014-01-01,1242.0347826086957,857.1821967741935,16243.722330714285
2014-02-01,1301.615,662.1651071428571,15958.443205157895
2014-03-01,1336.5285714285715,591.2104709677419,16308.627697190475
2014-04-01,1298.5272727272727,460.22734,16399.502278714284
2014-05-01,1287.9954545454545,484.83181935483873,16567.254789809525
2014-06-01,1282.5666666666668,612.3359333333334,16843.754743285717
2014-07-01,1312.0434782608695,615.5731483870967,16988.264115954546
2014-08-01,1296.6809523809522,535.3476225806452,16775.15420395238
2014-09-01,1238.790909090909,442.93792,17098.126767190475
2014-10-01,1223.5695652173913,361.53317741935484,16701.87062669565
2014-11-01,1177.6299999999999,365.00915,17648.977384947368
2014-12-01,1199.2391304347825,340.49666451612904,17754.24050090909
2015-01-01,1251.1409090909092,248.29459354838707,17542.254882999998
2015-02-01,1225.565,233.9022392857143,17945.41200663158
2015-03-01,1177.8545454545454,268.22800322580645,17931.7450285
2015-04-01,1199.8772727272726,234.97440999999998,17970.51320690476
2015-05-01,1198.4761904761904,236.88045483870968,18124.713086
2015-06-01,1181.159090909091,237.99279333333334,17927.21892772727
2015-07-01,1129.8652173913044,278.70750645161286,17795.016601636362
2015-08-01,1118.8190476190478,250.39020322580646,17061.59323857143
2015-09-01,1123.7545454545455,233.49631,16339.949869857142
2015-10-01,1159.390909090909,265.12459677419355,17182.282049090907
2015-11-01,1083.209523809524,348.8429766666667,17724.513672
2015-12-01,1068.904347826087,424.5237903225806,17542.854936136366
2016-01-01,1097.2894736842106,410.13774193548386,16305.25210731579
2016-02-01,1201.605,403.4864482758621,16299.89843755
2016-03-01,1245.8545454545454,414.7551935483871,17302.142755727273
2016-04-01,1243.8428571428572,434.5222,17844.365885476192
2016-05-01,1260.9285714285713,461.6692258064516,17692.320033619046
2016-06-01,1279.1909090909091,643.4821,17754.867809
2016-07-01,1337.3899999999999,661.4834193548387,18341.1824219
2016-08-01,1344.482608695652,578.737364516129,18495.187499956523
2016-09-01,1330.6809523809522,604.54786,18267.40299490476
2016-10-01,1266.047619047619,641.1636935483871,18184.54641
2016-11-01,1236.7,724.71815,18697.326636904763
2016-12-01,1153.6904761904761,824.7761129032258,19712.423735238095
2017-01-01,1194.715,911.2592580645162,19908.1525391
2017-02-01,1236.2368421052631,1064.3821,20424.144120105262
2017-03-01,1231.9260869565217,1129.7901935483872,20823.057999391305
2017-04-01,1271.136842105263,1218.3192466666667,20684.693667842104
2017-05-01,1245.6499999999999,1884.2805129032258,20936.81125718182
2017-06-01,1262.3363636363638,2657.555066666667,21317.795365863636
2017-07-01,1238.99,2533.259458064516,21581.2509767
2017-08-01,1289.8826086956522,3914.7093774193545,21914.076936304347
2017-09-01,1318.545,4090.7073133333333,22173.41396505
2017-10-01,1282.4818181818182,5350.540161290322,23036.237393545456
2017-11-01,1283.247619047619,7771.253153333334,23557.92940857143
2017-12-01,1268.92,15065.2798,24545.38417975
2018-01-01,1333.7761904761905,12926.660670967742,25804.0177642381
2018-02-01,1332.5947368421052,9388.980964285714,24981.54523031579
2018-03-01,1326.990476190476,8985.167606451612,24582.170387000002
2018-04-01,1338.661904761905,8024.738193333334,24304.212890619045
2018-05-01,1305.5227272727273,8424.479258064515,24572.532226772724
2018-06-01,1283.8761904761905,6769.703066666667,24790.108352
2018-07-01,1240.4809523809522,7122.832438709677,24978.231305904763
2018-08-01,1206.3086956521738,6677.8232548387095,25629.988281347825
2018-09-01,1201.9947368421053,6587.466733333334,26232.66796894737
2018-10-01,1217.3869565217392,6443.488132258065,25609.341881869565
2018-11-01,1222.4666666666667,5377.232569999999,25258.675316238096
2018-12-01,1256.92,3695.6808096774193,23805.545230421052
2019-01-01,1294.5,3690.0007225806453,24157.79510790476
2019-02-01,1322.136842105263,3691.598121428571,25605.526829789473
2019-03-01,1301.8714285714286,3954.6073064516127,25722.621186857144
2019-04-01,1288.9,5171.010556666666,26401.577380809522
2019-05-01,1285.9363636363635,7313.4458129032255,25744.788529863636
2019-06-01,1363.44,9400.55061,26160.10087905
2019-07-01,1418.409090909091,10653.14726451613,27089.186701000002
2019-08-01,1511.8181818181818,10639.793274193547,26057.728071772726
2019-09-01,1513.8,9797.35162,26900.213965000003
2019-10-01,1497.6347826086956,8389.624564516129,26736.797724304346
2019-11-01,1472.3200000000002,8346.86328,27797.04609375
2019-12-01,1484.347619047619,7257.689951612903,28167.00576642857
2020-01-01,1562.5857142857144,8371.919729032257,28879.99432661905
2020-02-01,1598.457894736842,9640.406089655171,28519.731599526316
2020-03-01,1596.859090909091,6894.903503225806,22637.42080968182
2020-04-01,1703.2666666666667,7218.609916666666,23293.89983261905
2020-05-01,1723.27,9240.587716129032,24271.0213868
2020-06-01,1743.809090909091,9469.12539,26062.27015268182
2020-07-01,1855.1727272727273,9521.73513548387,26385.83087727273
2020-08-01,1980.2714285714285,11629.346496774193,27821.36728052381
2020-09-01,1929.9619047619046,10692.924476666667,27733.39639138095
2020-10-01,1905.55,11889.340022580645,28005.105025
2020-11-01,1868.27,16670.254106666667,29124.0366211
2020-12-01,1862.8454545454545,21982.407103225807,30148.579900727273
2021-01-01,1867.557894736842,34754.56805806451,30821.35259047368
2021-02-01,1807.4526315789474,46319.68059285714,31283.909847894738
2021-03-01,1720.7826086956522,54861.01064838709,32373.291100608698
2021-04-01,1760.9095238095238,57092.77044,33803.28608642857
2021-05-01,1851.6200000000001,46455.37677096775,34270.3085939
2021-06-01,1835.75,35843.56928333334,34289.90678277273
2021-07-01,1807.6238095238095,34442.98999354839,34798.80431566666
2021-08-01,1788.3727272727272,45694.96730322581,35243.96590922727
2021-09-01,1778.161904761905,45942.38433666667,34688.421317095235
2021-10-01,1777.4285714285713,57907.90742580645,35055.5178572381
2021-11-01,1821.0857142857144,60700.139376666666,35848.57068457143
2021-12-01,1792.5318181818182,49317.85178064516,35641.33380690909
2022-01-01,1817.75,41102.94435806452,35456.1447267
